model,manufactured_year,price,mileage,tax,miles_per_gallon,engine_size,car_age,price_per_engine_size,mileage_per_year,transmission_manual,transmission_semi_auto,fuel_type_hybrid,fuel_type_petrol
 A1,2017,12500,15735,150,55.4,1.4,8,8928.57142857143,1966.875,1,0,0,1
 A6,2016,16500,36203,20,64.2,2.0,9,8250.0,4022.5555555555557,0,0,0,0
 A1,2016,11000,29946,30,55.4,1.4,9,7857.142857142858,3327.3333333333335,1,0,0,1
 A4,2017,16800,25952,145,67.3,2.0,8,8400.0,3244.0,0,0,0,0
 A3,2019,17300,1998,145,49.6,1.0,6,17300.0,333.0,1,0,0,1
 A1,2016,13900,32260,30,58.9,1.4,9,9928.57142857143,3584.4444444444443,0,0,0,1
 A6,2016,13250,76788,30,61.4,2.0,9,6625.0,8532.0,0,0,0,0
 A4,2016,11750,75185,20,70.6,2.0,9,5875.0,8353.888888888889,1,0,0,0
 A3,2015,10200,46112,20,60.1,1.4,10,7285.714285714286,4611.2,1,0,0,1
 A1,2016,12000,22451,30,55.4,1.4,9,8571.428571428572,2494.5555555555557,1,0,0,1
 A3,2017,16100,28955,145,58.9,1.4,8,11500.0,3619.375,1,0,0,1
 A6,2016,16500,52198,125,57.6,2.0,9,8250.0,5799.777777777777,0,0,0,0
 Q3,2016,17000,44915,145,52.3,2.0,9,8500.0,4990.555555555556,1,0,0,0
 A3,2017,16400,21695,30,58.9,1.4,8,11714.285714285716,2711.875,1,0,0,1
 A6,2015,15400,47348,30,61.4,2.0,10,7700.0,4734.8,1,0,0,0
 A3,2017,14500,26156,145,58.9,1.4,8,10357.142857142859,3269.5,0,0,0,1
 Q3,2016,15700,28396,145,53.3,2.0,9,7850.0,3155.1111111111113,0,0,0,0
 A3,2014,13900,30516,30,56.5,1.4,11,9928.57142857143,2774.181818181818,0,0,0,1
 Q5,2016,19000,37652,200,47.1,2.0,9,9500.0,4183.555555555556,0,0,0,0
 Q3,2014,17000,34110,145,47.9,1.4,11,12142.857142857143,3100.909090909091,1,0,0,1
 A5,2017,17300,37100,145,67.3,2.0,8,8650.0,4637.5,0,0,0,0
 Q5,2016,20200,23714,200,47.1,2.0,9,10100.0,2634.8888888888887,0,0,0,0
 A5,2017,22500,21649,145,58.9,3.0,8,7500.0,2706.125,0,0,0,0
 A6,2015,17500,62748,150,53.3,3.0,10,5833.333333333333,6274.8,0,0,0,0
 Q5,2016,20000,23789,200,47.1,2.0,9,10000.0,2643.222222222222,0,0,0,0
 A4,2017,18500,17418,145,62.8,2.0,8,9250.0,2177.25,0,0,0,0
 A5,2017,19500,33300,145,61.4,2.0,8,9750.0,4162.5,0,0,0,0
 A1,2018,15800,10793,145,56.5,1.4,7,11285.714285714286,1541.857142857143,1,0,0,1
 A4,2018,17200,25138,145,70.6,2.0,7,8600.0,3591.1428571428573,0,0,0,0
 A6,2015,14000,61176,30,62.8,2.0,10,7000.0,6117.6,1,0,0,0
 A1,2015,9500,54754,0,76.3,1.6,10,5937.5,5475.4,0,0,0,0
 Q3,2017,16500,21369,125,51.4,1.4,8,11785.714285714286,2671.125,1,0,0,1
 Q3,2014,15000,39190,205,47.9,2.0,11,7500.0,3562.7272727272725,0,0,0,0
 Q3,2017,16000,47482,150,47.9,1.4,8,11428.57142857143,5935.25,0,0,0,1
 Q3,2016,16900,40501,150,51.4,2.0,9,8450.0,4500.111111111111,0,0,0,0
 Q3,2014,12300,43195,200,47.9,2.0,11,6150.0,3926.818181818182,0,0,0,0
 A1,2017,10800,31447,145,67.3,1.0,8,10800.0,3930.875,1,0,0,1
 A6,2016,19400,34030,125,58.9,2.0,9,9700.0,3781.1111111111113,0,0,0,0
 A4,2017,16000,29063,145,70.6,2.0,8,8000.0,3632.875,1,0,0,0
 A3,2017,17100,29545,145,65.7,2.0,8,8550.0,3693.125,1,0,0,0
 A3,2015,11300,75619,20,68.9,2.0,10,5650.0,7561.9,1,0,0,0
 Q3,2016,17200,39603,160,50.4,2.0,9,8600.0,4400.333333333333,0,0,0,0
 Q3,2017,20300,42908,145,51.4,2.0,8,10150.0,5363.5,0,0,0,0
 A5,2014,13200,83872,125,58.9,2.0,11,6600.0,7624.727272727273,0,0,0,0
 Q3,2016,15200,58750,145,47.9,1.4,9,10857.142857142859,6527.777777777777,0,0,0,1
 A3,2019,15700,2029,145,49.6,1.0,6,15700.0,338.1666666666667,1,0,0,1
 A6,2018,16600,22958,145,50.4,1.8,7,9222.222222222223,3279.714285714286,0,0,0,1
 A4,2017,14400,32097,145,72.4,2.0,8,7200.0,4012.125,0,0,0,0
 A5,2017,20200,13057,145,53.3,2.0,8,10100.0,1632.125,0,0,0,1
 S4,2017,23700,20278,145,38.7,3.0,8,7900.0,2534.75,0,0,0,1
 A4,2016,12750,52561,0,74.3,2.0,9,6375.0,5840.111111111111,1,0,0,0
 A6,2015,13000,31604,20,67.3,2.0,10,6500.0,3160.4,0,0,0,0
 Q3,2016,15900,32011,145,49.6,1.4,9,11357.142857142859,3556.777777777778,1,0,0,1
 Q3,2016,15000,39134,30,60.1,2.0,9,7500.0,4348.222222222223,1,0,0,0
 Q5,2015,14700,89483,205,47.1,2.0,10,7350.0,8948.3,0,0,0,0
 A3,2015,15000,56291,200,42.8,1.8,10,8333.333333333334,5629.1,0,0,0,1
 A6,2016,16000,47767,20,61.4,2.0,9,8000.0,5307.444444444444,0,0,0,0
 A1,2014,11000,34315,125,53.3,1.4,11,7857.142857142858,3119.5454545454545,1,0,0,1
 A3,2016,10200,66369,0,83.1,1.6,9,6375.0,7374.333333333333,1,0,0,0
 A6,2016,18500,34110,30,61.4,2.0,9,9250.0,3790.0,1,0,0,0
 A1,2013,7000,76269,0,74.3,1.6,12,4375.0,6355.75,1,0,0,0
 A3,2016,10600,37840,20,70.6,1.6,9,6625.0,4204.444444444444,1,0,0,0
 A3,2017,16000,26249,30,67.3,1.6,8,10000.0,3281.125,1,0,0,0
 Q3,2017,15000,44898,125,57.7,2.0,8,7500.0,5612.25,1,0,0,0
 Q3,2017,14000,67161,150,51.4,1.4,8,10000.0,8395.125,1,0,0,1
 A3,2018,18950,17992,150,54.3,1.5,7,12633.333333333334,2570.285714285714,1,0,0,1
 A4,2016,10200,97440,20,70.6,2.0,9,5100.0,10826.666666666666,1,0,0,0
 A1,2017,11700,19268,150,67.3,1.0,8,11700.0,2408.5,1,0,0,1
 A3,2013,11500,51441,125,50.4,1.8,12,6388.888888888889,4286.75,0,0,0,1
 A1,2016,10800,18181,0,67.3,1.0,9,10800.0,2020.111111111111,1,0,0,1
 A3,2016,12500,19494,30,67.3,2.0,9,6250.0,2166.0,1,0,0,0
 A6,2016,16600,32808,30,61.4,2.0,9,8300.0,3645.3333333333335,1,0,0,0
 A3,2017,13100,25965,145,65.7,2.0,8,6550.0,3245.625,1,0,0,0
 A3,2016,8300,88215,20,68.9,2.0,9,4150.0,9801.666666666666,1,0,0,0
 A3,2019,16000,5704,145,49.6,1.0,6,16000.0,950.6666666666666,1,0,0,1
 A4,2017,16900,10959,145,51.4,1.4,8,12071.428571428572,1369.875,1,0,0,1
 Q5,2016,19600,30201,200,47.1,2.0,9,9800.0,3355.6666666666665,0,0,0,0
 Q3,2017,21800,19319,145,40.4,2.0,8,10900.0,2414.875,0,0,0,1
 A6,2017,16200,22582,145,61.4,2.0,8,8100.0,2822.75,1,0,0,0
 A5,2017,18700,20052,145,49.6,2.0,8,9350.0,2506.5,1,0,0,1
 Q3,2016,16100,16666,30,60.1,2.0,9,8050.0,1851.7777777777778,1,0,0,0
 A3,2016,11300,25626,0,74.3,1.6,9,7062.5,2847.3333333333335,1,0,0,0
 A3,2016,14100,10460,20,60.1,1.4,9,10071.428571428572,1162.2222222222222,1,0,0,1
 A6,2016,16600,43307,125,57.6,2.0,9,8300.0,4811.888888888889,0,0,0,0
 A1,2017,11300,29327,30,55.4,1.4,8,8071.428571428572,3665.875,1,0,0,1
 Q3,2017,15600,36714,125,51.4,1.4,8,11142.857142857143,4589.25,1,0,0,1
 A1,2014,10000,28324,125,53.3,1.4,11,7142.857142857143,2574.909090909091,1,0,0,1
 A1,2016,14500,12100,30,56.5,1.4,9,10357.142857142859,1344.4444444444443,1,0,0,1
 Q3,2017,16100,18001,145,62.8,2.0,8,8050.0,2250.125,1,0,0,0
 A1,2016,10600,28760,30,55.4,1.4,9,7571.428571428572,3195.5555555555557,1,0,0,1
 A3,2019,25499,4000,145,44.1,1.5,6,16999.333333333332,666.6666666666666,0,1,0,1
 Q2,2019,25499,7897,145,47.9,2.0,6,12749.5,1316.1666666666667,0,1,0,0
 A6,2016,15500,24744,125,56.5,3.0,9,5166.666666666667,2749.3333333333335,0,0,0,0
 Q3,2015,16200,30075,160,51.4,2.0,10,8100.0,3007.5,0,0,0,0
 A1,2017,14000,12577,30,58.9,1.4,8,10000.0,1572.125,1,0,0,1
 A6,2016,17300,24421,30,61.4,2.0,9,8650.0,2713.4444444444443,0,0,0,0
 A1,2016,10600,15567,0,76.3,1.6,9,6625.0,1729.6666666666667,1,0,0,0
 A4,2018,17500,15207,145,51.4,1.4,7,12500.0,2172.4285714285716,1,0,0,1
 A4,2017,15000,14864,145,52.3,1.4,8,10714.285714285716,1858.0,1,0,0,1
 A4,2019,25499,9000,145,38.7,2.0,6,12749.5,1500.0,0,1,0,1
 A4,2019,25000,5000,145,38.7,2.0,6,12500.0,833.3333333333334,1,0,0,1
 Q2,2019,31000,4264,145,33.2,2.0,6,15500.0,710.6666666666666,0,1,0,1
 Q3,2019,28000,4000,145,42.8,2.0,6,14000.0,666.6666666666666,1,0,0,0
 Q3,2019,28000,4000,145,42.2,1.5,6,18666.666666666668,666.6666666666666,1,0,0,1
 Q2,2019,21499,2721,145,49.6,1.6,6,13436.875,453.5,1,0,0,0
 Q2,2019,26000,4000,145,42.2,1.5,6,17333.333333333332,666.6666666666666,0,1,0,1
 Q5,2016,30000,49649,235,42.2,3.0,9,10000.0,5516.555555555556,0,1,0,0
 A4,2017,17000,14068,145,51.4,1.4,8,12142.857142857143,1758.5,1,0,0,1
 A4,2017,14500,23092,145,52.3,1.4,8,10357.142857142859,2886.5,1,0,0,1
 Q3,2017,17500,30682,160,50.4,2.0,8,8750.0,3835.25,0,0,0,0
 A1,2016,10500,18272,0,67.3,1.0,9,10500.0,2030.2222222222222,1,0,0,1
 Q2,2017,14800,23714,145,68.9,1.6,8,9250.0,2964.25,0,0,0,0
 A6,2016,12000,71311,30,61.4,2.0,9,6000.0,7923.444444444444,0,0,0,0
 A6,2018,22000,29477,145,61.4,2.0,7,11000.0,4211.0,0,0,0,0
 Q5,2016,17800,60551,200,47.1,2.0,9,8900.0,6727.888888888889,0,0,0,0
 A6,2017,19800,42071,30,61.4,2.0,8,9900.0,5258.875,0,0,0,0
 A7,2014,19500,55774,235,44.8,3.0,11,6500.0,5070.363636363636,0,0,0,0
 A1,2016,9800,36462,0,76.3,1.6,9,6125.0,4051.3333333333335,1,0,0,0
 A3,2016,15500,25376,30,57.6,1.4,9,11071.428571428572,2819.5555555555557,1,0,0,1
 A4,2017,16800,39388,145,67.3,2.0,8,8400.0,4923.5,0,0,0,0
 A3,2017,11500,64207,20,67.3,2.0,8,5750.0,8025.875,1,0,0,0
 A1,2017,12100,49221,145,55.4,1.4,8,8642.857142857143,6152.625,1,0,0,1
 A1,2017,12700,27179,0,76.3,1.6,8,7937.5,3397.375,1,0,0,0
 A4,2014,11700,31376,125,58.9,2.0,11,5850.0,2852.3636363636365,1,0,0,0
 A5,2015,11500,62668,145,53.3,2.0,10,5750.0,6266.8,0,0,0,0
 A4,2017,17400,10001,145,51.4,1.4,8,12428.57142857143,1250.125,1,0,0,1
 A6,2016,16000,52544,30,61.4,2.0,9,8000.0,5838.222222222223,0,0,0,0
 A4,2016,13100,63097,125,49.6,2.0,9,6550.0,7010.777777777777,1,0,0,1
 A6,2016,14700,72967,30,61.4,2.0,9,7350.0,8107.444444444444,1,0,0,0
 A5,2017,21100,32771,145,70.6,2.0,8,10550.0,4096.375,0,0,0,0
 Q3,2018,24400,13303,145,40.4,2.0,7,12200.0,1900.4285714285713,0,0,0,1
 A3,2019,18750,2752,145,44.8,1.5,6,12500.0,458.6666666666667,1,0,0,1
 Q3,2016,16500,23307,160,49.6,2.0,9,8250.0,2589.6666666666665,1,0,0,0
 A1,2017,11000,34551,150,67.3,1.0,8,11000.0,4318.875,1,0,0,1
 A3,2017,13400,25457,150,68.9,1.6,8,8375.0,3182.125,1,0,0,0
 Q2,2018,20000,12167,150,50.4,1.4,7,14285.714285714286,1738.142857142857,1,0,0,1
 A6,2015,15400,23237,20,67.3,2.0,10,7700.0,2323.7,0,0,0,0
 Q3,2016,15500,11863,160,50.4,2.0,9,7750.0,1318.111111111111,0,0,0,0
 A4,2017,14800,21225,145,72.4,2.0,8,7400.0,2653.125,1,0,0,0
 A6,2015,17100,32083,30,61.4,2.0,10,8550.0,3208.3,0,0,0,0
 Q5,2017,25750,17039,145,55.4,2.0,8,12875.0,2129.875,0,0,0,0
 A4,2016,11750,72026,0,74.3,2.0,9,5875.0,8002.888888888889,1,0,0,0
 A1,2017,11200,34824,0,67.3,1.0,8,11200.0,4353.0,1,0,0,1
