model,manufactured_year,selling_price,transmission_type,mileage,fuel_type,tax,engine_size,car_age,miles_per_litre,Actual Price,Predicted Price,Error,Absolute Error,Percent Error (%)
 A1,2016,12691,Manual,14681,Petrol,0,1.0,9,14.8,12691.0,11572.56,-1118.44,1118.44,8.81
 Q7,2019,47816,Semi-Auto,14915,Diesel,145,3.0,6,7.22,47816.0,48339.76,523.76,523.76,1.1
 A3,2019,21450,Manual,2800,Diesel,145,1.6,6,11.31,21450.0,21547.35,97.35,97.35,0.45
 Q3,2016,13849,Manual,46553,Diesel,30,2.0,9,13.51,13849.0,15076.85,1227.85,1227.85,8.87
 A3,2015,12990,Semi-Auto,27100,Petrol,20,1.4,10,13.22,12990.0,14019.29,1029.29,1029.29,7.92
 Q5,2019,45490,Automatic,10000,Hybrid,135,2.0,6,25.89,45490.0,45091.39,-398.61,398.61,0.88
 Q5,2019,34985,Automatic,7573,Diesel,145,2.0,6,8.62,34985.0,34170.39,-814.61,814.61,2.33
 Q5,2017,23990,Automatic,27000,Diesel,205,3.0,8,10.03,23990.0,32240.2,8250.2,8250.2,34.39
 A4,2015,14998,Manual,54654,Diesel,145,2.0,10,12.19,14998.0,13558.79,-1439.21,1439.21,9.6
 A1,2017,12360,Manual,8773,Petrol,0,1.0,8,14.8,12360.0,13311.45,951.45,951.45,7.7
 A3,2014,13999,Manual,35093,Petrol,30,1.4,11,11.94,13999.0,11351.02,-2647.98,2647.98,18.92
 TT,2016,20999,Semi-Auto,46200,Petrol,160,2.0,9,9.57,20999.0,18847.67,-2151.33,2151.33,10.24
 Q5,2016,31995,Semi-Auto,30172,Diesel,240,3.0,9,9.28,31995.0,28800.93,-3194.07,3194.07,9.98
 A4,2015,20999,Automatic,24204,Petrol,260,3.0,10,7.88,20999.0,20073.88,-925.12,925.12,4.41
 A6,2019,29250,Automatic,10055,Diesel,145,2.0,6,10.54,29250.0,29480.33,230.33,230.33,0.79
 RS5,2019,54990,Automatic,4474,Petrol,145,2.9,6,6.53,54990.0,49000.54,-5989.46,5989.46,10.89
 A6,2019,33999,Semi-Auto,15885,Diesel,145,3.0,6,11.09,33999.0,32076.22,-1922.78,1922.78,5.66
 A3,2015,20900,Semi-Auto,32600,Petrol,205,2.0,10,9.0,20900.0,16946.19,-3953.81,3953.81,18.92
 Q2,2017,20990,Semi-Auto,20630,Diesel,145,2.0,8,12.69,20990.0,19728.57,-1261.43,1261.43,6.01
 A3,2017,12970,Manual,20661,Petrol,20,1.0,8,13.81,12970.0,14132.88,1162.88,1162.88,8.97
 TT,2016,22500,Automatic,45182,Petrol,200,2.0,9,9.0,22500.0,19695.64,-2804.36,2804.36,12.46
 Q7,2014,25042,Semi-Auto,43700,Diesel,300,3.0,11,8.4,25042.0,21268.06,-3773.94,3773.94,15.07
 A1,2012,8288,Manual,25000,Diesel,0,1.6,13,16.34,8288.0,8654.87,366.87,366.87,4.43
 A5,2014,13495,Manual,31650,Petrol,150,1.8,11,10.91,13495.0,12633.14,-861.86,861.86,6.39
 Q3,2019,25490,Manual,11130,Diesel,145,2.0,6,9.41,25490.0,28909.98,3419.98,3419.98,13.42
 Q3,2017,19498,Semi-Auto,29323,Diesel,150,2.0,8,12.19,19498.0,20072.89,574.89,574.89,2.95
 A3,2018,20488,Manual,13069,Petrol,145,1.5,7,11.94,20488.0,18573.99,-1914.01,1914.01,9.34
 A3,2017,25999,Manual,21349,Petrol,200,2.0,8,8.75,25999.0,21102.37,-4896.63,4896.63,18.83
