model,manufactured_year,selling_price,transmission_type,mileage,fuel_type,tax,engine_size,car_age,miles_per_litre,Actual Price,Predicted Price,Error,Absolute Error,Percent Error (%)
 A1,2016,12691,Manual,14681,Petrol,0,1.0,9,14.8,12691.0,12195.32,-495.68,495.68,3.91
 Q7,2019,47816,Semi-Auto,14915,Diesel,145,3.0,6,7.22,47816.0,46830.11,-985.89,985.89,2.06
 A3,2019,21450,Manual,2800,Diesel,145,1.6,6,11.31,21450.0,21428.61,-21.39,21.39,0.1
 Q3,2016,13849,Manual,46553,Diesel,30,2.0,9,13.51,13849.0,14850.2,1001.2,1001.2,7.23
 A3,2015,12990,Semi-Auto,27100,Petrol,20,1.4,10,13.22,12990.0,14089.65,1099.65,1099.65,8.47
 Q5,2019,45490,Automatic,10000,Hybrid,135,2.0,6,25.89,45490.0,40946.9,-4543.1,4543.1,9.99
 Q5,2019,34985,Automatic,7573,Diesel,145,2.0,6,8.62,34985.0,32218.45,-2766.55,2766.55,7.91
 Q5,2017,23990,Automatic,27000,Diesel,205,3.0,8,10.03,23990.0,30374.57,6384.57,6384.57,26.61
 A4,2015,14998,Manual,54654,Diesel,145,2.0,10,12.19,14998.0,12625.61,-2372.39,2372.39,15.82
 A1,2017,12360,Manual,8773,Petrol,0,1.0,8,14.8,12360.0,14116.6,1756.6,1756.6,14.21
 A3,2014,13999,Manual,35093,Petrol,30,1.4,11,11.94,13999.0,11508.35,-2490.65,2490.65,17.79
 TT,2016,20999,Semi-Auto,46200,Petrol,160,2.0,9,9.57,20999.0,18304.0,-2695.0,2695.0,12.83
 Q5,2016,31995,Semi-Auto,30172,Diesel,240,3.0,9,9.28,31995.0,28406.38,-3588.62,3588.62,11.22
 A4,2015,20999,Automatic,24204,Petrol,260,3.0,10,7.88,20999.0,20377.86,-621.14,621.14,2.96
 A6,2019,29250,Automatic,10055,Diesel,145,2.0,6,10.54,29250.0,29255.33,5.33,5.33,0.02
 RS5,2019,54990,Automatic,4474,Petrol,145,2.9,6,6.53,54990.0,51918.87,-3071.13,3071.13,5.58
 A6,2019,33999,Semi-Auto,15885,Diesel,145,3.0,6,11.09,33999.0,31811.36,-2187.64,2187.64,6.43
 A3,2015,20900,Semi-Auto,32600,Petrol,205,2.0,10,9.0,20900.0,18141.19,-2758.81,2758.81,13.2
 Q2,2017,20990,Semi-Auto,20630,Diesel,145,2.0,8,12.69,20990.0,19739.79,-1250.21,1250.21,5.96
 A3,2017,12970,Manual,20661,Petrol,20,1.0,8,13.81,12970.0,14401.19,1431.19,1431.19,11.03
 TT,2016,22500,Automatic,45182,Petrol,200,2.0,9,9.0,22500.0,18899.59,-3600.41,3600.41,16.0
 Q7,2014,25042,Semi-Auto,43700,Diesel,300,3.0,11,8.4,25042.0,21613.45,-3428.55,3428.55,13.69
 A1,2012,8288,Manual,25000,Diesel,0,1.6,13,16.34,8288.0,8947.07,659.07,659.07,7.95
 A5,2014,13495,Manual,31650,Petrol,150,1.8,11,10.91,13495.0,12432.79,-1062.21,1062.21,7.87
 Q3,2019,25490,Manual,11130,Diesel,145,2.0,6,9.41,25490.0,25424.44,-65.56,65.56,0.26
 Q3,2017,19498,Semi-Auto,29323,Diesel,150,2.0,8,12.19,19498.0,20185.71,687.71,687.71,3.53
 A3,2018,20488,Manual,13069,Petrol,145,1.5,7,11.94,20488.0,18608.16,-1879.84,1879.84,9.18
 A3,2017,25999,Manual,21349,Petrol,200,2.0,8,8.75,25999.0,19849.27,-6149.73,6149.73,23.65
 Q2,2019,27870,Semi-Auto,5872,Petrol,145,2.0,6,7.3,27870.0,29013.33,1143.33,1143.33,4.1
 Q3,2017,16000,Automatic,47482,Petrol,150,1.4,8,10.54,16000.0,17821.29,1821.29,1821.29,11.38
 Q2,2019,23500,Automatic,4573,Petrol,145,1.5,6,9.0,23500.0,25089.17,1589.17,1589.17,6.76
 A6,2015,13498,Semi-Auto,51405,Diesel,20,2.0,10,14.8,13498.0,16423.84,2925.84,2925.84,21.68
 A4,2014,13975,Manual,36790,Diesel,30,2.0,11,13.51,13975.0,12068.0,-1907.0,1907.0,13.65
 Q3,2017,20750,Automatic,25000,Petrol,145,2.0,8,9.41,20750.0,21755.29,1005.29,1005.29,4.84
 Q2,2017,18950,Semi-Auto,25915,Diesel,145,1.6,8,14.45,18950.0,17920.83,-1029.17,1029.17,5.43
 A6,2019,32750,Automatic,8305,Diesel,145,3.0,6,8.75,32750.0,38014.86,5264.86,5264.86,16.08
