model,manufactured_year,selling_price,transmission_type,mileage,fuel_type,tax,engine_size,car_age,miles_per_litre,Actual Price,Predicted Price,Error,Absolute Error,Percent Error (%)
 A1,2016,12691,Manual,14681,Petrol,0,1.0,9,14.8,12691.0,10451.24,-2239.76,2239.76,17.65
 Q7,2019,47816,Semi-Auto,14915,Diesel,145,3.0,6,7.22,47816.0,49583.44,1767.44,1767.44,3.7
 A3,2019,21450,Manual,2800,Diesel,145,1.6,6,11.31,21450.0,20857.67,-592.33,592.33,2.76
 Q3,2016,13849,Manual,46553,Diesel,30,2.0,9,13.51,13849.0,15978.56,2129.56,2129.56,15.38
 A3,2015,12990,Semi-Auto,27100,Petrol,20,1.4,10,13.22,12990.0,12992.77,2.77,2.77,0.02
 Q5,2019,45490,Automatic,10000,Hybrid,135,2.0,6,25.89,45490.0,41815.54,-3674.46,3674.46,8.08
 Q5,2019,34985,Automatic,7573,Diesel,145,2.0,6,8.62,34985.0,33358.22,-1626.78,1626.78,4.65
 Q5,2017,23990,Automatic,27000,Diesel,205,3.0,8,10.03,23990.0,29236.37,5246.37,5246.37,21.87
 A4,2015,14998,Manual,54654,Diesel,145,2.0,10,12.19,14998.0,12429.13,-2568.87,2568.87,17.13
 A1,2017,12360,Manual,8773,Petrol,0,1.0,8,14.8,12360.0,12109.56,-250.44,250.44,2.03
 A3,2014,13999,Manual,35093,Petrol,30,1.4,11,11.94,13999.0,10362.19,-3636.81,3636.81,25.98
 TT,2016,20999,Semi-Auto,46200,Petrol,160,2.0,9,9.57,20999.0,19416.81,-1582.19,1582.19,7.53
 Q5,2016,31995,Semi-Auto,30172,Diesel,240,3.0,9,9.28,31995.0,25807.38,-6187.62,6187.62,19.34
 A4,2015,20999,Automatic,24204,Petrol,260,3.0,10,7.88,20999.0,18812.92,-2186.08,2186.08,10.41
 A6,2019,29250,Automatic,10055,Diesel,145,2.0,6,10.54,29250.0,28414.63,-835.37,835.37,2.86
