model,manufactured_year,selling_price,transmission_type,mileage,fuel_type,tax,engine_size,car_age,miles_per_litre,Actual Price,Predicted Price,Error,Absolute Error,Percent Error (%)
 A1,2016,12691,Manual,14681,Petrol,0,1.0,9,14.8,12691.0,11985.32,-705.68,705.68,5.56
 Q7,2019,47816,Semi-Auto,14915,Diesel,145,3.0,6,7.22,47816.0,49278.27,1462.27,1462.27,3.06
 A3,2019,21450,Manual,2800,Diesel,145,1.6,6,11.31,21450.0,21076.92,-373.08,373.08,1.74
 Q3,2016,13849,Manual,46553,Diesel,30,2.0,9,13.51,13849.0,15406.88,1557.88,1557.88,11.25
 A3,2015,12990,Semi-Auto,27100,Petrol,20,1.4,10,13.22,12990.0,14004.33,1014.33,1014.33,7.81
 Q5,2019,45490,Automatic,10000,Hybrid,135,2.0,6,25.89,45490.0,44963.04,-526.96,526.96,1.16
 Q5,2019,34985,Automatic,7573,Diesel,145,2.0,6,8.62,34985.0,32825.82,-2159.18,2159.18,6.17
 Q5,2017,23990,Automatic,27000,Diesel,205,3.0,8,10.03,23990.0,27583.54,3593.54,3593.54,14.98
 A4,2015,14998,Manual,54654,Diesel,145,2.0,10,12.19,14998.0,13464.78,-1533.22,1533.22,10.22
 A1,2017,12360,Manual,8773,Petrol,0,1.0,8,14.8,12360.0,13136.67,776.67,776.67,6.28
 A3,2014,13999,Manual,35093,Petrol,30,1.4,11,11.94,13999.0,11558.44,-2440.56,2440.56,17.43
 TT,2016,20999,Semi-Auto,46200,Petrol,160,2.0,9,9.57,20999.0,19595.63,-1403.37,1403.37,6.68
 Q5,2016,31995,Semi-Auto,30172,Diesel,240,3.0,9,9.28,31995.0,29203.63,-2791.37,2791.37,8.72
 A4,2015,20999,Automatic,24204,Petrol,260,3.0,10,7.88,20999.0,22176.78,1177.78,1177.78,5.61
 A6,2019,29250,Automatic,10055,Diesel,145,2.0,6,10.54,29250.0,30334.07,1084.07,1084.07,3.71
 RS5,2019,54990,Automatic,4474,Petrol,145,2.9,6,6.53,54990.0,54347.88,-642.12,642.12,1.17
 A6,2019,33999,Semi-Auto,15885,Diesel,145,3.0,6,11.09,33999.0,32652.84,-1346.16,1346.16,3.96
 A3,2015,20900,Semi-Auto,32600,Petrol,205,2.0,10,9.0,20900.0,19370.54,-1529.46,1529.46,7.32
 Q2,2017,20990,Semi-Auto,20630,Diesel,145,2.0,8,12.69,20990.0,20497.43,-492.57,492.57,2.35
 A3,2017,12970,Manual,20661,Petrol,20,1.0,8,13.81,12970.0,13685.1,715.1,715.1,5.51
 TT,2016,22500,Automatic,45182,Petrol,200,2.0,9,9.0,22500.0,20141.14,-2358.86,2358.86,10.48
 Q7,2014,25042,Semi-Auto,43700,Diesel,300,3.0,11,8.4,25042.0,21099.6,-3942.4,3942.4,15.74
 A1,2012,8288,Manual,25000,Diesel,0,1.6,13,16.34,8288.0,8359.07,71.07,71.07,0.86
 A5,2014,13495,Manual,31650,Petrol,150,1.8,11,10.91,13495.0,11479.8,-2015.2,2015.2,14.93
 Q3,2019,25490,Manual,11130,Diesel,145,2.0,6,9.41,25490.0,28430.01,2940.01,2940.01,11.53
 Q3,2017,19498,Semi-Auto,29323,Diesel,150,2.0,8,12.19,19498.0,20061.35,563.35,563.35,2.89
 A3,2018,20488,Manual,13069,Petrol,145,1.5,7,11.94,20488.0,18056.43,-2431.57,2431.57,11.87
 A3,2017,25999,Manual,21349,Petrol,200,2.0,8,8.75,25999.0,22958.62,-3040.38,3040.38,11.69
 Q2,2019,27870,Semi-Auto,5872,Petrol,145,2.0,6,7.3,27870.0,29254.59,1384.59,1384.59,4.97
 Q3,2017,16000,Automatic,47482,Petrol,150,1.4,8,10.54,16000.0,18365.49,2365.49,2365.49,14.78
 Q2,2019,23500,Automatic,4573,Petrol,145,1.5,6,9.0,23500.0,25456.62,1956.62,1956.62,8.33
 A6,2015,13498,Semi-Auto,51405,Diesel,20,2.0,10,14.8,13498.0,15407.75,1909.75,1909.75,14.15
 A4,2014,13975,Manual,36790,Diesel,30,2.0,11,13.51,13975.0,12398.68,-1576.32,1576.32,11.28
 Q3,2017,20750,Automatic,25000,Petrol,145,2.0,8,9.41,20750.0,21880.64,1130.64,1130.64,5.45
 Q2,2017,18950,Semi-Auto,25915,Diesel,145,1.6,8,14.45,18950.0,17431.5,-1518.5,1518.5,8.01
 A6,2019,32750,Automatic,8305,Diesel,145,3.0,6,8.75,32750.0,37033.1,4283.1,4283.1,13.08
 A4,2017,20900,Manual,15724,Diesel,150,2.0,8,14.8,20900.0,17781.32,-3118.68,3118.68,14.92
 Q5,2019,57895,Automatic,1255,Diesel,145,3.0,6,7.15,57895.0,50247.63,-7647.37,7647.37,13.21
 Q2,2019,31000,Semi-Auto,4264,Petrol,145,2.0,6,7.3,31000.0,29778.16,-1221.84,1221.84,3.94
 Q2,2019,22784,Manual,4569,Petrol,145,1.5,6,9.0,22784.0,23878.01,1094.01,1094.01,4.8
 Q7,2019,40495,Semi-Auto,8391,Diesel,150,3.0,6,7.39,40495.0,47418.35,6923.35,6923.35,17.1
 Q5,2016,23442,Semi-Auto,15744,Diesel,200,2.0,9,10.36,23442.0,24807.02,1365.02,1365.02,5.82
 Q8,2019,56990,Automatic,5000,Diesel,145,3.0,6,7.39,56990.0,55639.38,-1350.62,1350.62,2.37
 Q3,2019,29950,Semi-Auto,2451,Petrol,150,2.0,6,7.06,29950.0,34079.95,4129.95,4129.95,13.79
 Q3,2017,18350,Automatic,31000,Petrol,145,1.4,8,10.54,18350.0,19148.91,798.91,798.91,4.35
 A1,2018,16990,Manual,8300,Petrol,145,1.4,7,15.53,16990.0,13124.0,-3866.0,3866.0,22.75
